School|Prof Name|Course Name|Course ID
SOSS|Sahri Md Salleh|Bahasa Melayu|MLAY201
SOSS|Marijo Romero|Spanish|SPAN201
SOSS|Gobinathan Nair|Principles of Coaching in Sports|SPRT001
SOSS|Suksri Lumprasert|Thai|THAI201
SIS|Mei Lin|Information Systems & Innovation in Smart Cities|SMT110
SIS|Mei Lin|Information Systems & Innovation|IS110
SIS|Qian Tang|Information Systems & Innovation|IS110
SIS|Jing Jiang|Introduction to Programming|IS111
SIS|Joelle Elmaleh|Introduction to Programming|IS111
SIS|Yeow Leong Lee|Introduction to Programming|IS111
SIS|Akshat Kumar|Computer as an Analysis Tool|IS102
SIS|Dai Bing Tian|Computer as an Analysis Tool|IS102
SIS|Dan Ma|Computer as an Analysis Tool|IS102
SIS|Kyong Jin Shim|Computer as an Analysis Tool|IS102
SIS|Manoj Thulasidas|Computer as an Analysis Tool|IS102
SIS|Michelle Cheong|Computer as an Analysis Tool|IS102
SIS|Wang Hai|Computer as an Analysis Tool|IS102
SIS|Youngsoo Kim|Computer as an Analysis Tool|IS102
SIS|Zhiling Guo|Computer as an Analysis Tool|IS102
SIS|Hady Lauw|Computational Thinking|IS103
SIS|Rajesh Balan|Software Engineering|IS203
SIS|Paul Griffin|Software Engineering|IS203
SIS|Youngki Lee|Software Engineering|IS203
SIS|Kevin Steppe|Architectural Analysis|IS303
SIS|Alan Megargel|Architectural Analysis|IS303
SIS|Swapna Gottipati|Process Modeling & Solution Blueprinting|IS304
SIS|Rafael Barros|Process Modeling & Solution Blueprinting|IS304
SIS|Kar Way Tan|Enterprise Web Solutions|IS305
SIS|Koh Kwan Chin|Enterprise Web Solutions|IS305
SIS|Kok Khing Lee|Interaction Design and Prototyping|IS306
SIS|Lingxiao Jiang|IS Application Project|IS480
SIS|Steven Hoi|IS Application Project|IS480
SIS|Patrick Thng|IS Application Project|IS480
SIS|Xiong Jie|IS Application Project|IS480
SIS|Hwee Pink Tan|IS Application Project|IS480
SIS|Debin Gao|Networking|IS204
SIS|Venky Shankararaman|Enterprise Business Solution|IS412
SIS|Patrick Thng|Retail Banking Processes and Technology|IS419
SIS|Gerard Tong|Financial Markets Processes and Technology|IS423
SIS|Steven Hoi|Data Mining and Business Analytics|IS424
SIS|Annie Ng|Advanced Seminar on Information Systems Management|IS425
SIS|Tin Seong Kam|Visual Analytics for Business Intelligence|IS428
SIS|Enoch Chng|ePayments Processes and Technology|IS430
SIS|Siew Ning Kan|Public Sector Systems|IS432
SIS|Kyong Jin Shim|Social Analytics & Applications|IS434
SIS|Yingjiu Li|Data Security and Privacy|IS436
SIS|Debin Gao|Software and Systems Security|IS437
SIS|Hwee Pink Tan|Internet of Things: Technology and Applications|IS439
SIS|Li Yingjiu|Guided Research in Information Systems|IS470
SIS|Li Yingjiu|Guided Research in Information Systems 2|IS471
SIS|Tin Seong Kam|Analytics Practicum|ANLY482
SIS|Ee Peng Lim|Data Management|IS112
SIS|Kyriakos Mouratidis|Data Management|IS113
SIS|Baihua Zheng|Data Management|IS114
SIS|Li Yuchen|Data Management|IS115
SIS|Vandana Rao / Fiona Lee|Data Management|IS116
SIS|Yeow Leong Lee|Web Application Development|IS113
SIS|Kyong Jin Shim|Web Application Development|IS114
SIS|David Lo|Web Application Development|IS115
SIS|Pradeep Varakantham|Computer as an Analysis Tool|IS102
SIS|Feida Zhu|Computer as an Analysis Tool|IS102
SIS|Wang Qiuhong|Computer as an Analysis Tool|IS102
SIS|Aldy Gunawan|Computer as an Analysis Tool|IS102
SIS|Arindam Chatterjee|Computer as an Analysis Tool|IS102
SIS|Siraj Iqbal|Computer as an Analysis Tool|IS102
SIS|Shih-Fen Cheng|Computational Thinking|IS103
SIS|Xuhua Ding|Computational Thinking|IS103
SIS|Lingxiao Jiang|Enterprise Integration|IS301
SIS|Venky Shankararaman|Enterprise Integration|IS301
SIS|Alan Megargel|Enterprise Integration|IS301
SIS|Xuhua Ding|Information Security and Trust|IS302
SIS|Debin Gao|Information Security and Trust|IS302
SIS|Yingjiu Li|Information Security and Trust|IS302
SIS|Ouh Eng Lieh|Architectural Analysis|IS303
SIS|Mok Heng Ngee|Architectural Analysis|IS303
SIS|Swapna Gottipati|Enterprise Web Solutions|IS305
SIS|Rafael Barros|Enterprise Web Solutions|IS305
SIS|Benjamin Gan|Interaction Design and Prototyping|IS306
SIS|Kotaro Hara|Interaction Design and Prototyping|IS306
SIS|Paul Griffin|Interaction Design and Prototyping|IS306
SIS|Benjamin Gan|IS Application Project|IS480
SIS|Rafael Barros|IS Application Project|IS480
SIS|Paul Griffin|IS Application Project|IS480
SIS|Tan Hwee Xian|IS Application Project|IS480
SIS|Youngki Lee|IS Application Project|IS480
SIS|Xuhua Ding|Network Security|IS403
SIS|Benjamin Gan|Technopreneurship Study Mission|IS.405
SIS|Kyriakos Mouratidis|Advanced Data Management|IS410
SIS|Tin Seong Kam|Geospatial Analytics and Business Intelligence|IS415
SIS|Thivya Kandappu|Mobile & Pervasive Technology|IS416
SIS|Swapna Gottipati|Data Warehousing and Business Analytics|IS417
SIS|Shih-Fen Cheng|Agent-based Modeling and Simulation|IS418
SIS|Hoong Chuin Lau|Enterprise Analytics for Decision Support|IS421
SIS|Yuet Nan Wong|Advanced Seminar on Information Systems Management|IS425
SIS|Siew Ning Kan|Systems for Intelligent Cities|IS435
SIS|Enoch Chng|Financial Technology Study Mission|IS.438
SIS|Yeow Leong Lee|Object Oriented Programming|IS442
SIS|Course Coordinator (Benjamin Gan)|IS Application Project 2|IS481
SIS|Seema Chokshi|Analytics Foundations|ANLY104
SIS|Manoj Thulasidas|Analytics Foundations|ANLY104
SIS|Kar Way Tan|Analytics Foundations|ANLY104
SOB|Akanksha Rath|Management Communication|COMM101
SOB|Chan Boh Yee|Management Communication|COMM101
SOB|Farooq Jamil Alvi|Management Communication|COMM101
SOB|Gwendoline Anne Lim Siu Kiao|Management Communication|COMM101
SOB|Ho Jack Yong|Management Communication|COMM101
SOB|Lindy Ong|Management Communication|COMM101
SOB|Mehdi Namazie|Management Communication|COMM101
SOB|Serena Lim|Management Communication|COMM101
SOB|Shyamala Deenathayalan|Management Communication|COMM101
SOB|Sunita Anne Abraham|Management Communication|COMM101
SOB|Vandana Advani|Management Communication|COMM101
SOB|Yeo Su Lin|Foundations in Corporate Communication|COMM102
SOB|Ong Siow Heng|Intercultural Communication|COMM120
SOB|Shyamala Deenathayalan|Intercultural Communication|COMM120
SOB|Augustine Pang|Fundamentals of Media Engagement|COMM121
SOB|Mark Chong Yiew Kim|The Communication and Digital Media Industries|COMM216
SOB|Georgette Tan|Organisational Communication|COMM245
SOB|Augustine Pang|Crisis Management and Communication|COMM246
SOB|Shyamala Deenathayalan|Corporate Culture and Values|COMM254
SOB|Ong Siow Heng|Corporate Culture and Values|COMM254
SOB|Sungjong Roh|Psychology of Strategic Communication|COMM302
